Variable Name,Description
body_acc_y112,Response # 112 of feature: body_acc_y
body_acc_y113,Response # 113 of feature: body_acc_y
body_acc_y114,Response # 114 of feature: body_acc_y
body_acc_y115,Response # 115 of feature: body_acc_y
body_acc_y116,Response # 116 of feature: body_acc_y
body_acc_y117,Response # 117 of feature: body_acc_y
body_acc_y118,Response # 118 of feature: body_acc_y
body_acc_y119,Response # 119 of feature: body_acc_y
body_acc_y120,Response # 120 of feature: body_acc_y
body_acc_y121,Response # 121 of feature: body_acc_y
body_acc_y122,Response # 122 of feature: body_acc_y
body_acc_y123,Response # 123 of feature: body_acc_y
body_acc_y124,Response # 124 of feature: body_acc_y
body_acc_y125,Response # 125 of feature: body_acc_y
body_acc_y126,Response # 126 of feature: body_acc_y
body_acc_y127,Response # 127 of feature: body_acc_y
body_acc_y128,Response # 128 of feature: body_acc_y
body_acc_x1,Response # 1 of feature: body_acc_x
body_acc_x2,Response # 2 of feature: body_acc_x
body_acc_x3,Response # 3 of feature: body_acc_x
body_acc_x4,Response # 4 of feature: body_acc_x
body_acc_x5,Response # 5 of feature: body_acc_x
body_acc_x6,Response # 6 of feature: body_acc_x
body_acc_x7,Response # 7 of feature: body_acc_x
body_acc_x8,Response # 8 of feature: body_acc_x
body_acc_x9,Response # 9 of feature: body_acc_x
body_acc_x10,Response # 10 of feature: body_acc_x
body_acc_x11,Response # 11 of feature: body_acc_x
body_acc_x12,Response # 12 of feature: body_acc_x
body_acc_x13,Response # 13 of feature: body_acc_x
body_acc_x14,Response # 14 of feature: body_acc_x
body_acc_x15,Response # 15 of feature: body_acc_x
body_acc_x16,Response # 16 of feature: body_acc_x
body_acc_x17,Response # 17 of feature: body_acc_x
body_acc_x18,Response # 18 of feature: body_acc_x
body_acc_x19,Response # 19 of feature: body_acc_x
body_acc_x20,Response # 20 of feature: body_acc_x
body_acc_x21,Response # 21 of feature: body_acc_x
body_acc_x22,Response # 22 of feature: body_acc_x
body_acc_x23,Response # 23 of feature: body_acc_x
body_acc_x24,Response # 24 of feature: body_acc_x
body_acc_x25,Response # 25 of feature: body_acc_x
body_acc_x26,Response # 26 of feature: body_acc_x
body_acc_x27,Response # 27 of feature: body_acc_x
body_acc_x28,Response # 28 of feature: body_acc_x
body_acc_x29,Response # 29 of feature: body_acc_x
body_acc_x30,Response # 30 of feature: body_acc_x
body_acc_x31,Response # 31 of feature: body_acc_x
body_acc_x32,Response # 32 of feature: body_acc_x
body_acc_x33,Response # 33 of feature: body_acc_x
body_acc_x34,Response # 34 of feature: body_acc_x
body_acc_x35,Response # 35 of feature: body_acc_x
body_acc_x36,Response # 36 of feature: body_acc_x
body_acc_x37,Response # 37 of feature: body_acc_x
body_acc_x38,Response # 38 of feature: body_acc_x
body_acc_x39,Response # 39 of feature: body_acc_x
body_acc_x40,Response # 40 of feature: body_acc_x
body_acc_x41,Response # 41 of feature: body_acc_x
body_acc_x42,Response # 42 of feature: body_acc_x
body_acc_x43,Response # 43 of feature: body_acc_x
body_acc_x44,Response # 44 of feature: body_acc_x
body_acc_x45,Response # 45 of feature: body_acc_x
body_acc_x46,Response # 46 of feature: body_acc_x
body_acc_x47,Response # 47 of feature: body_acc_x
body_acc_x48,Response # 48 of feature: body_acc_x
body_acc_x49,Response # 49 of feature: body_acc_x
body_acc_x50,Response # 50 of feature: body_acc_x
body_acc_x51,Response # 51 of feature: body_acc_x
body_acc_x52,Response # 52 of feature: body_acc_x
body_acc_x53,Response # 53 of feature: body_acc_x
body_acc_x54,Response # 54 of feature: body_acc_x
body_acc_x55,Response # 55 of feature: body_acc_x
body_acc_x56,Response # 56 of feature: body_acc_x
body_acc_x57,Response # 57 of feature: body_acc_x
body_acc_x58,Response # 58 of feature: body_acc_x
body_acc_x59,Response # 59 of feature: body_acc_x
body_acc_x60,Response # 60 of feature: body_acc_x
body_acc_x61,Response # 61 of feature: body_acc_x
body_acc_x62,Response # 62 of feature: body_acc_x
body_acc_x63,Response # 63 of feature: body_acc_x
body_acc_x64,Response # 64 of feature: body_acc_x
body_acc_x65,Response # 65 of feature: body_acc_x
body_acc_x66,Response # 66 of feature: body_acc_x
body_acc_x67,Response # 67 of feature: body_acc_x
body_acc_x68,Response # 68 of feature: body_acc_x
body_acc_x69,Response # 69 of feature: body_acc_x
body_acc_x70,Response # 70 of feature: body_acc_x
body_acc_x71,Response # 71 of feature: body_acc_x
body_acc_x72,Response # 72 of feature: body_acc_x
body_acc_x73,Response # 73 of feature: body_acc_x
body_acc_x74,Response # 74 of feature: body_acc_x
body_acc_x75,Response # 75 of feature: body_acc_x
body_acc_x76,Response # 76 of feature: body_acc_x
body_acc_x77,Response # 77 of feature: body_acc_x
body_acc_x78,Response # 78 of feature: body_acc_x
body_acc_x79,Response # 79 of feature: body_acc_x
body_acc_x80,Response # 80 of feature: body_acc_x
body_acc_x81,Response # 81 of feature: body_acc_x
body_acc_x82,Response # 82 of feature: body_acc_x
body_acc_x83,Response # 83 of feature: body_acc_x
body_acc_x84,Response # 84 of feature: body_acc_x
body_acc_x85,Response # 85 of feature: body_acc_x
body_acc_x86,Response # 86 of feature: body_acc_x
body_acc_x87,Response # 87 of feature: body_acc_x
body_acc_x88,Response # 88 of feature: body_acc_x
body_acc_x89,Response # 89 of feature: body_acc_x
body_acc_x90,Response # 90 of feature: body_acc_x
body_acc_x91,Response # 91 of feature: body_acc_x
body_acc_x92,Response # 92 of feature: body_acc_x
body_acc_x93,Response # 93 of feature: body_acc_x
body_acc_x94,Response # 94 of feature: body_acc_x
body_acc_x95,Response # 95 of feature: body_acc_x
body_acc_x96,Response # 96 of feature: body_acc_x
body_acc_x97,Response # 97 of feature: body_acc_x
body_acc_x98,Response # 98 of feature: body_acc_x
body_acc_x99,Response # 99 of feature: body_acc_x
body_acc_x100,Response # 100 of feature: body_acc_x
body_acc_x101,Response # 101 of feature: body_acc_x
body_acc_x102,Response # 102 of feature: body_acc_x
body_acc_x103,Response # 103 of feature: body_acc_x
body_acc_x104,Response # 104 of feature: body_acc_x
body_acc_x105,Response # 105 of feature: body_acc_x
body_acc_x106,Response # 106 of feature: body_acc_x
body_acc_x107,Response # 107 of feature: body_acc_x
body_acc_x108,Response # 108 of feature: body_acc_x
body_acc_x109,Response # 109 of feature: body_acc_x
body_acc_x110,Response # 110 of feature: body_acc_x
body_acc_x111,Response # 111 of feature: body_acc_x
body_acc_x112,Response # 112 of feature: body_acc_x
body_acc_x113,Response # 113 of feature: body_acc_x
body_acc_x114,Response # 114 of feature: body_acc_x
body_acc_x115,Response # 115 of feature: body_acc_x
body_acc_x116,Response # 116 of feature: body_acc_x
body_acc_x117,Response # 117 of feature: body_acc_x
body_acc_x118,Response # 118 of feature: body_acc_x
body_acc_x119,Response # 119 of feature: body_acc_x
body_acc_x120,Response # 120 of feature: body_acc_x
body_acc_x121,Response # 121 of feature: body_acc_x
body_acc_x122,Response # 122 of feature: body_acc_x
body_acc_x123,Response # 123 of feature: body_acc_x
body_acc_x124,Response # 124 of feature: body_acc_x
body_acc_x125,Response # 125 of feature: body_acc_x
body_acc_x126,Response # 126 of feature: body_acc_x
body_acc_x127,Response # 127 of feature: body_acc_x
body_acc_x128,Response # 128 of feature: body_acc_x
subject,"Out of 30, Subject #"
activity,Descriptive type of activity
